Command,Chromosome,Sample_Size,Time_Taken,Memory_Used_MB,Input_file_size
random_access,21,25,0:00.08,57004,3107730
compress,21,25,0:01.81,108968,57973490
decompress,21,25,0:01.00,345116,3107730
random_access,21,25,0:00.07,57036,3107730
random_access,21,25,0:00.07,56876,3107730
random_access,21,25,0:00.07,57032,3107730
compress,21,25,0:01.88,120080,57973490
decompress,21,25,0:00.98,345620,3107740
random_access,21,25,0:00.07,56956,3107740
random_access,21,25,0:00.07,56924,3107740
random_access,21,25,0:00.08,57032,3107740
compress,21,50,0:02.32,135548,94250149
decompress,21,50,0:01.30,361616,3667406
random_access,21,50,0:00.08,57076,3667406
random_access,21,50,0:00.08,57060,3667406
random_access,21,50,0:00.08,56972,3667406
compress,21,50,0:02.41,140504,94250149
decompress,21,50,0:01.29,330048,3667406
random_access,21,50,0:00.08,56992,3667406
random_access,21,50,0:00.08,57016,3667406
random_access,21,50,0:00.08,56972,3667406
compress,21,50,0:02.16,136496,94250149
decompress,21,50,0:01.27,347868,3667406
random_access,21,50,0:00.08,56316,3667406
random_access,21,50,0:00.08,57036,3667406
random_access,21,50,0:00.08,56448,3667406
compress,21,100,0:03.47,184944,179941175
decompress,21,100,0:01.79,410080,4532430
random_access,21,100,0:00.10,57092,4532430
random_access,21,100,0:00.09,57124,4532430
random_access,21,100,0:00.09,57032,4532430
compress,21,100,0:03.35,195648,179941175
decompress,21,100,0:01.82,411380,4532430
random_access,21,100,0:00.10,57020,4532430
random_access,21,100,0:00.09,57092,4532430
random_access,21,100,0:00.09,56996,4532430
compress,21,100,0:03.24,196524,179941175
decompress,21,100,0:01.83,398460,4532430
random_access,21,100,0:00.10,57188,4532430
random_access,21,100,0:00.09,57108,4532430
random_access,21,100,0:00.09,57048,4532430
compress,21,150,0:05.04,217876,288266513
decompress,21,150,0:02.41,430232,5385028
random_access,21,150,0:00.10,56012,5385028
random_access,21,150,0:00.10,57240,5385028
random_access,21,150,0:00.10,56152,5385028
compress,21,150,0:04.77,228836,288266513
decompress,21,150,0:02.52,455260,5385028
random_access,21,150,0:00.10,56140,5385028
random_access,21,150,0:00.10,57108,5385028
random_access,21,150,0:00.10,56108,5385028
compress,21,150,0:04.86,232976,288266513
decompress,21,150,0:02.35,441880,5385029
random_access,21,150,0:00.10,56112,5385029
random_access,21,150,0:00.10,57132,5385029
random_access,21,150,0:00.10,56180,5385029
compress,21,200,0:06.47,242604,403827400
decompress,21,200,0:02.99,454008,6066151
random_access,21,200,0:00.11,57276,6066151
random_access,21,200,0:00.10,57108,6066151
random_access,21,200,0:00.11,57260,6066151
compress,21,200,0:05.53,242572,403827400
decompress,21,200,0:03.01,461476,6066151
random_access,21,200,0:00.12,57256,6066151
random_access,21,200,0:00.11,57188,6066151
random_access,21,200,0:00.11,57100,6066151
compress,21,200,0:05.41,230512,403827400
decompress,21,200,0:02.99,477028,6066151
random_access,21,200,0:00.11,57232,6066151
random_access,21,200,0:00.10,57040,6066151
random_access,21,200,0:00.11,57356,6066151
compress,21,250,0:07.04,252304,535112191
decompress,21,250,0:03.62,502404,6739748
random_access,21,250,0:00.11,57636,6739748
random_access,21,250,0:00.11,57524,6739748
random_access,21,250,0:00.11,57560,6739748
compress,21,250,0:08.09,262492,535112191
decompress,21,250,0:03.60,485068,6739748
random_access,21,250,0:00.11,57548,6739748
random_access,21,250,0:00.11,57456,6739748
random_access,21,250,0:00.11,57672,6739748
compress,21,250,0:07.95,261288,535112191
decompress,21,250,0:03.63,468168,6739748
random_access,21,250,0:00.11,57476,6739748
random_access,21,250,0:00.10,57420,6739748
random_access,21,250,0:00.11,57644,6739748
compress,21,500,0:16.12,339772,1256320378
decompress,21,500,0:06.85,548296,9149411
random_access,21,500,0:00.13,58200,9149411
random_access,21,500,0:00.12,58396,9149411
random_access,21,500,0:00.15,58492,9149411
compress,21,500,0:15.78,332204,1256320378
decompress,21,500,0:06.81,576564,9149411
random_access,21,500,0:00.13,58044,9149411
random_access,21,500,0:00.13,58536,9149411
random_access,21,500,0:00.15,58256,9149411
compress,21,500,0:16.84,329192,1256320378
decompress,21,500,0:07.03,561520,9149411
random_access,21,500,0:00.13,58164,9149411
random_access,21,500,0:00.12,58520,9149411
random_access,21,500,0:00.17,58368,9149411
compress,21,750,0:27.00,327404,2160350295
decompress,21,750,0:11.09,419308,11502510
random_access,21,750,0:00.08,38764,11502510
random_access,21,750,0:00.07,39176,11502510
random_access,21,750,0:00.08,39120,11502510
compress,21,750,0:26.01,319608,2160350295
decompress,21,750,0:10.79,422992,11502510
random_access,21,750,0:00.08,38772,11502510
random_access,21,750,0:00.07,39152,11502510
random_access,21,750,0:00.08,39108,11502510
compress,21,750,0:25.64,325020,2160350295
decompress,21,750,0:10.87,419924,11502510
random_access,21,750,0:00.08,38800,11502510
random_access,21,750,0:00.07,39128,11502510
random_access,21,750,0:00.08,39260,11502510
compress,21,1000,0:38.60,339828,3189133179
decompress,21,1000,0:14.82,479336,13563929
random_access,21,1000,0:00.11,39848,13563929
random_access,21,1000,0:00.07,39480,13563929
random_access,21,1000,0:00.09,39548,13563929
compress,21,1000,0:39.63,360460,3189133179
decompress,21,1000,0:15.12,485012,13563929
random_access,21,1000,0:00.11,39852,13563929
random_access,21,1000,0:00.07,39308,13563929
random_access,21,1000,0:00.08,39632,13563929
compress,21,1000,0:38.88,340036,3189133179
decompress,21,1000,0:14.99,495464,13563929
random_access,21,1000,0:00.10,39764,13563929
random_access,21,1000,0:00.07,39412,13563929
random_access,21,1000,0:00.08,39644,13563929
compress,21,1500,1:07.33,355988,5511763640
decompress,21,1500,0:25.09,550540,17627059
random_access,21,1500,0:00.09,39036,17627059
random_access,21,1500,0:00.08,39044,17627059
random_access,21,1500,0:00.09,39008,17627059
compress,21,1500,1:06.11,361908,5511763640
decompress,21,1500,0:25.02,547504,17627059
random_access,21,1500,0:00.09,39296,17627059
random_access,21,1500,0:00.08,38992,17627059
random_access,21,1500,0:00.09,39124,17627059
compress,21,1500,1:08.27,361932,5511763640
decompress,21,1500,0:24.90,527408,17627059
random_access,21,1500,0:00.08,39244,17627059
random_access,21,1500,0:00.08,39048,17627059
random_access,21,1500,0:00.09,38960,17627059
compress,21,2000,1:37.90,411676,8177780612
